,time,exp,func,param1,param2
123,35.9261,stdin,sys.stdin.readline(),,
124,41.242836,stdin,sys.stdin.readline(),,
125,36.3462,stdin,sys.stdin.readline(),,
126,43.288948,stdin,sys.stdin.readline(),,
127,36.486862,stdin,sys.stdin.readline(),,
128,36.553146,stdin,sys.stdin.readline(),,
129,36.48114,stdin,sys.stdin.readline(),,
130,36.159992,stdin,sys.stdin.readline(),,
131,37.508965,stdin,sys.stdin.readline(),,
132,35.689117,stdin,sys.stdin.readline(),,
133,35.84194,stdin,sys.stdin.readline(),,
134,37.610054,stdin,sys.stdin.readline(),,
135,36.03506,stdin,sys.stdin.readline(),,
136,37.075043,stdin,sys.stdin.readline(),,
137,37.077904,stdin,sys.stdin.readline(),,
138,35.87103,stdin,sys.stdin.readline(),,
139,35.803078,stdin,sys.stdin.readline(),,
140,36.80086,stdin,sys.stdin.readline(),,
141,36.830185,stdin,sys.stdin.readline(),,
142,35.835983,stdin,sys.stdin.readline(),,
143,36.34405,stdin,sys.stdin.readline(),,
144,39.27183,stdin,sys.stdin.readline(),,
145,35.819054,stdin,sys.stdin.readline(),,
146,37.502052,stdin,sys.stdin.readline(),,
147,38.189888,stdin,sys.stdin.readline(),,
148,36.44204,stdin,sys.stdin.readline(),,
149,36.458015,stdin,sys.stdin.readline(),,
150,35.734894,stdin,sys.stdin.readline(),,
151,38.96499,stdin,sys.stdin.readline(),,
152,36.84807,stdin,sys.stdin.readline(),,
153,36.082985,stdin,sys.stdin.readline(),,
154,38.064957,stdin,sys.stdin.readline(),,
155,39.711,stdin,sys.stdin.readline(),,
156,41.842224,stdin,sys.stdin.readline(),,
157,37.17804,stdin,sys.stdin.readline(),,
158,36.056995,stdin,sys.stdin.readline(),,
159,35.78186,stdin,sys.stdin.readline(),,
160,35.633087,stdin,sys.stdin.readline(),,
161,37.39214,stdin,sys.stdin.readline(),,
162,38.59401,stdin,sys.stdin.readline(),,
163,35.76493,stdin,sys.stdin.readline(),,
164,36.59916,stdin,sys.stdin.readline(),,
165,36.103966,stdin,sys.stdin.readline(),,
166,37.533043,stdin,sys.stdin.readline(),,
167,36.88884,stdin,sys.stdin.readline(),,
168,36.993027,stdin,sys.stdin.readline(),,
169,35.817863,stdin,sys.stdin.readline(),,
170,36.58509,stdin,sys.stdin.readline(),,
171,38.167953,stdin,sys.stdin.readline(),,
172,36.45587,stdin,sys.stdin.readline(),,
173,38.73992,stdin,sys.stdin.readline(),,
174,35.66599,stdin,sys.stdin.readline(),,
175,36.516907,stdin,sys.stdin.readline(),,
176,36.03792,stdin,sys.stdin.readline(),,
177,36.775112,stdin,sys.stdin.readline(),,
178,35.866974,stdin,sys.stdin.readline(),,
179,35.754204,stdin,sys.stdin.readline(),,
180,36.88717,stdin,sys.stdin.readline(),,
181,36.365032,stdin,sys.stdin.readline(),,
182,36.368847,stdin,sys.stdin.readline(),,
183,37.639854,stdin,sys.stdin.readline(),,
184,35.865067,stdin,sys.stdin.readline(),,
185,36.103012,stdin,sys.stdin.readline(),,
186,36.45897,stdin,sys.stdin.readline(),,
187,36.06987,stdin,sys.stdin.readline(),,
188,35.716057,stdin,sys.stdin.readline(),,
189,36.660194,stdin,sys.stdin.readline(),,
190,36.041977,stdin,sys.stdin.readline(),,
191,38.810013,stdin,sys.stdin.readline(),,
192,48.995018,stdin,sys.stdin.readline(),,
193,36.715984,stdin,sys.stdin.readline(),,
194,35.2509,stdin,sys.stdin.readline(),,
195,37.494183,stdin,sys.stdin.readline(),,
196,37.110806,stdin,sys.stdin.readline(),,
197,35.501003,stdin,sys.stdin.readline(),,
198,35.94613,stdin,sys.stdin.readline(),,
199,35.881996,stdin,sys.stdin.readline(),,
200,479.02167,sort1,sort(),1000000,10000
201,86.954926,sort1,sort(),1000000,10000
202,113.541016,sort1,sort(),1000000,10000
203,103.23999,sort1,sort(),1000000,10000
204,75.82061,sort1,sort(),1000000,10000
205,69.054596,sort1,sort(),1000000,10000
206,70.895035,sort1,sort(),1000000,10000
207,66.17243,sort1,sort(),1000000,10000
208,70.64958,sort1,sort(),1000000,10000
209,80.37047,sort1,sort(),1000000,10000
210,73.04439,sort1,sort(),1000000,10000
211,70.451454,sort1,sort(),1000000,10000
212,70.644966,sort1,sort(),1000000,10000
213,70.08996,sort1,sort(),1000000,10000
214,70.2258,sort1,sort(),1000000,10000
215,71.295395,sort1,sort(),1000000,10000
216,72.925095,sort1,sort(),1000000,10000
217,80.42344,sort1,sort(),1000000,10000
218,68.47025,sort1,sort(),1000000,10000
219,69.75753,sort1,sort(),1000000,10000
220,68.22108,sort1,sort(),1000000,10000
221,71.50794,sort1,sort(),1000000,10000
