,time,exp,func,param1,param2
95,3.2690911,list3,[[None] * N for _ in range(N)],1000,
96,2.628009,list3,[[None] * N for _ in range(N)],1000,
97,2.60519,list3,[[None] * N for _ in range(N)],1000,
98,2.6429741,list3,[[None] * N for _ in range(N)],1000,
99,2.62277,list3,[[None] * N for _ in range(N)],1000,
100,37.125145,list3,[[None for _ in range(N)] for _ in range(N)],1000,
101,39.4393,list3,[[None for _ in range(N)] for _ in range(N)],1000,
102,37.148155,list3,[[None for _ in range(N)] for _ in range(N)],1000,
103,38.55742,list3,[[None for _ in range(N)] for _ in range(N)],1000,
104,38.586163,list3,[[None for _ in range(N)] for _ in range(N)],1000,
105,37.2923,list3,[[None for _ in range(N)] for _ in range(N)],1000,
106,36.995953,list3,[[None for _ in range(N)] for _ in range(N)],1000,
107,44.26235,list3,[[None for _ in range(N)] for _ in range(N)],1000,
108,47.4862,list3,[[None for _ in range(N)] for _ in range(N)],1000,
109,44.025463,list3,[[None for _ in range(N)] for _ in range(N)],1000,
110,45.11957,list3,[[None for _ in range(N)] for _ in range(N)],1000,
111,40.372005,list3,[[None for _ in range(N)] for _ in range(N)],1000,
112,38.035618,list3,[[None for _ in range(N)] for _ in range(N)],1000,
113,37.496464,list3,[[None for _ in range(N)] for _ in range(N)],1000,
114,40.084656,list3,[[None for _ in range(N)] for _ in range(N)],1000,
115,34.584854,list3,[[None for _ in range(N)] for _ in range(N)],1000,
116,33.938473,list3,[[None for _ in range(N)] for _ in range(N)],1000,
117,35.059372,list3,[[None for _ in range(N)] for _ in range(N)],1000,
118,33.699936,list3,[[None for _ in range(N)] for _ in range(N)],1000,
119,35.04938,list3,[[None for _ in range(N)] for _ in range(N)],1000,
120,33.715847,list3,[[None for _ in range(N)] for _ in range(N)],1000,
121,47.760506,list3,[[None for _ in range(N)] for _ in range(N)],1000,
122,35.607895,list3,[[None for _ in range(N)] for _ in range(N)],1000,
123,38.31734,list3,[[None for _ in range(N)] for _ in range(N)],1000,
124,36.9447,list3,[[None for _ in range(N)] for _ in range(N)],1000,
125,34.74224,list3,[[None for _ in range(N)] for _ in range(N)],1000,
126,34.00807,list3,[[None for _ in range(N)] for _ in range(N)],1000,
127,33.83985,list3,[[None for _ in range(N)] for _ in range(N)],1000,
128,35.702244,list3,[[None for _ in range(N)] for _ in range(N)],1000,
129,34.49242,list3,[[None for _ in range(N)] for _ in range(N)],1000,
130,34.123817,list3,[[None for _ in range(N)] for _ in range(N)],1000,
131,35.56452,list3,[[None for _ in range(N)] for _ in range(N)],1000,
132,35.68487,list3,[[None for _ in range(N)] for _ in range(N)],1000,
133,34.058064,list3,[[None for _ in range(N)] for _ in range(N)],1000,
134,34.39544,list3,[[None for _ in range(N)] for _ in range(N)],1000,
135,35.83718,list3,[[None for _ in range(N)] for _ in range(N)],1000,
136,34.420853,list3,[[None for _ in range(N)] for _ in range(N)],1000,
137,34.213,list3,[[None for _ in range(N)] for _ in range(N)],1000,
138,34.590424,list3,[[None for _ in range(N)] for _ in range(N)],1000,
139,34.857872,list3,[[None for _ in range(N)] for _ in range(N)],1000,
140,34.641895,list3,[[None for _ in range(N)] for _ in range(N)],1000,
141,35.65832,list3,[[None for _ in range(N)] for _ in range(N)],1000,
142,36.289764,list3,[[None for _ in range(N)] for _ in range(N)],1000,
143,34.451046,list3,[[None for _ in range(N)] for _ in range(N)],1000,
144,33.97459,list3,[[None for _ in range(N)] for _ in range(N)],1000,
145,33.722336,list3,[[None for _ in range(N)] for _ in range(N)],1000,
146,34.481716,list3,[[None for _ in range(N)] for _ in range(N)],1000,
147,35.44196,list3,[[None for _ in range(N)] for _ in range(N)],1000,
148,34.726517,list3,[[None for _ in range(N)] for _ in range(N)],1000,
149,34.14771,list3,[[None for _ in range(N)] for _ in range(N)],1000,
150,33.92773,list3,[[None for _ in range(N)] for _ in range(N)],1000,
151,35.90782,list3,[[None for _ in range(N)] for _ in range(N)],1000,
152,37.50058,list3,[[None for _ in range(N)] for _ in range(N)],1000,
153,35.76745,list3,[[None for _ in range(N)] for _ in range(N)],1000,
154,34.350273,list3,[[None for _ in range(N)] for _ in range(N)],1000,
155,34.337498,list3,[[None for _ in range(N)] for _ in range(N)],1000,
156,36.23667,list3,[[None for _ in range(N)] for _ in range(N)],1000,
157,37.40238,list3,[[None for _ in range(N)] for _ in range(N)],1000,
158,42.27007,list3,[[None for _ in range(N)] for _ in range(N)],1000,
159,38.29672,list3,[[None for _ in range(N)] for _ in range(N)],1000,
160,39.164566,list3,[[None for _ in range(N)] for _ in range(N)],1000,
161,36.2613,list3,[[None for _ in range(N)] for _ in range(N)],1000,
162,35.61927,list3,[[None for _ in range(N)] for _ in range(N)],1000,
163,36.35815,list3,[[None for _ in range(N)] for _ in range(N)],1000,
164,35.14287,list3,[[None for _ in range(N)] for _ in range(N)],1000,
165,34.593105,list3,[[None for _ in range(N)] for _ in range(N)],1000,
166,34.4094,list3,[[None for _ in range(N)] for _ in range(N)],1000,
167,35.094307,list3,[[None for _ in range(N)] for _ in range(N)],1000,
168,35.959984,list3,[[None for _ in range(N)] for _ in range(N)],1000,
169,39.697643,list3,[[None for _ in range(N)] for _ in range(N)],1000,
170,43.70457,list3,[[None for _ in range(N)] for _ in range(N)],1000,
171,38.625057,list3,[[None for _ in range(N)] for _ in range(N)],1000,
172,38.566227,list3,[[None for _ in range(N)] for _ in range(N)],1000,
173,38.723106,list3,[[None for _ in range(N)] for _ in range(N)],1000,
174,39.23854,list3,[[None for _ in range(N)] for _ in range(N)],1000,
175,44.0319,list3,[[None for _ in range(N)] for _ in range(N)],1000,
176,40.07584,list3,[[None for _ in range(N)] for _ in range(N)],1000,
177,38.11047,list3,[[None for _ in range(N)] for _ in range(N)],1000,
178,51.391876,list3,[[None for _ in range(N)] for _ in range(N)],1000,
179,46.70796,list3,[[None for _ in range(N)] for _ in range(N)],1000,
180,36.610424,list3,[[None for _ in range(N)] for _ in range(N)],1000,
181,35.022278,list3,[[None for _ in range(N)] for _ in range(N)],1000,
182,36.62789,list3,[[None for _ in range(N)] for _ in range(N)],1000,
183,36.40385,list3,[[None for _ in range(N)] for _ in range(N)],1000,
184,39.426144,list3,[[None for _ in range(N)] for _ in range(N)],1000,
185,46.981094,list3,[[None for _ in range(N)] for _ in range(N)],1000,
186,41.40143,list3,[[None for _ in range(N)] for _ in range(N)],1000,
187,41.99166,list3,[[None for _ in range(N)] for _ in range(N)],1000,
188,41.296333,list3,[[None for _ in range(N)] for _ in range(N)],1000,
189,45.043774,list3,[[None for _ in range(N)] for _ in range(N)],1000,
190,45.712917,list3,[[None for _ in range(N)] for _ in range(N)],1000,
191,50.57475,list3,[[None for _ in range(N)] for _ in range(N)],1000,
192,41.811615,list3,[[None for _ in range(N)] for _ in range(N)],1000,
193,42.62434,list3,[[None for _ in range(N)] for _ in range(N)],1000,
194,41.55076,list3,[[None for _ in range(N)] for _ in range(N)],1000,
195,44.51148,list3,[[None for _ in range(N)] for _ in range(N)],1000,
196,45.61742,list3,[[None for _ in range(N)] for _ in range(N)],1000,
197,41.478806,list3,[[None for _ in range(N)] for _ in range(N)],1000,
198,49.569805,list3,[[None for _ in range(N)] for _ in range(N)],1000,
199,59.057926,list3,[[None for _ in range(N)] for _ in range(N)],1000,
